SAC,22200197,122,GSW,115
LAL,22200198,116,BKN,103
NYK,22200192,135,OKC,145
CLE,22200193,124,MIN,129
CHI,22200196,103,DEN,126
PHI,22200188,121,ATL,109
LAC,22200184,95,BKN,110
OKC,22200179,132,TOR,113
GSW,22200182,106,CLE,101
MEM,22200181,114,MIN,103
BOS,22200176,131,DEN,112
LAL,22200183,114,SAC,120
ATL,22200173,104,PHI,95
MIN,22200167,117,PHX,129
BKN,22200164,112,NYK,85
OKC,22200168,132,MIL,136
LAC,22200170,114,LAL,101
SAC,22200171,127,CLE,120
CHI,22200166,111,NOP,115
CHI,22200151,111,TOR,97
GSW,22200156,116,SAC,113
ATL,22200149,117,MIL,98
PHI,22200148,100,PHX,88
MIN,22200153,107,NYK,120
LAC,22200158,119,CLE,117
MEM,22200152,106,BOS,109
TOR,22200141,113,CHI,104
LAL,22200140,100,CLE,114
NYK,22200135,118,BOS,133
MIL,22200136,108,OKC,94
ATL,22200134,124,NOP,121
NOP,22200128,114,GSW,105
BOS,22200124,123,CHI,119
PHI,22200122,104,NYK,106
MIN,22200129,102,MIL,115
OKC,22200119,110,DEN,122
NYK,22200110,99,ATL,112
LAL,22200117,120,NOP,117
CLE,22200107,114,BOS,113
MIA,22200109,110,SAC,107
PHX,22200106,116,MIN,107
BKN,22200103,99,CHI,108
MIA,22200104,116,GSW,109
TOR,22200099,139,ATL,109
LAC,22200088,91,NOP,112
CLE,22200090,121,NYK,108
LAL,22200095,121,DEN,110
CHI,22200084,109,PHI,114
SAC,22200081,119,MIA,113
MIL,22200085,123,ATL,115
PHX,22200079,124,NOP,111
MIL,22200075,119,NYK,108
BOS,22200072,123,CLE,132
MIN,22200076,111,LAL,102
TOR,22200073,90,PHI,112
SAC,22200069,110,MEM,125
OKC,22200067,118,LAC,110
GSW,22200068,123,MIA,110
DEN,22200064,110,LAL,99
TOR,22200059,119,PHI,109
MIL,22200060,110,BKN,99
PHX,22200055,134,GSW,105
OKC,22200054,108,LAC,94
MIA,22200045,90,TOR,98
CHI,22200047,120,BOS,102
MEM,22200049,134,BKN,124
GSW,22200042,130,SAC,125
OKC,22200041,106,MIN,116
LAC,22200043,95,PHX,112
MIA,22200031,112,TOR,109
CHI,22200032,96,CLE,128
DEN,22200035,122,OKC,117
SAC,22200036,109,LAC,111
GSW,22200026,123,DEN,128
MIA,22200022,104,BOS,111
BKN,22200021,109,TOR,105
LAL,22200016,97,LAC,103
PHI,22200015,88,MIL,90
MIN,22200010,115,OKC,108
MIA,22200007,108,CHI,116
TOR,22200008,108,CLE,105
BKN,22200006,108,NOP,130
MEM,22200009,115,NYK,112
BOS,22200001,126,PHI,117
GSW,22200002,123,LAL,109
NOP,12200067,120,ATL,111
MIN,12200066,102,BKN,112
TOR,12200064,137,BOS,134
SAC,12200070,133,LAL,86
GSW,12200069,112,DEN,119
CLE,12200052,105,ATL,99
MIA,12200055,120,NOP,103
LAL,12200057,113,MIN,118
MIL,12200056,97,BKN,107
LAC,12200059,115,DEN,126
PHX,12200058,104,SAC,105
CHI,12200049,127,MIL,104
CLE,12200044,97,PHI,113
DEN,12200046,107,PHX,105
LAC,12200042,117,MIN,119
GSW,12200040,121,LAL,124
TOR,12200037,98,CHI,115
MIL,12200036,109,ATL,118
CHI,12200031,131,DEN,113
MEM,12200033,108,MIA,111
LAL,12200028,99,MIN,114
BKN,12200024,80,MIA,109
ATL,12200023,123,MIL,113
PHI,12200019,113,CLE,112
BOS,12200020,119,TOR,125
LAL,12200022,115,PHX,119
CHI,12200016,125,NOP,129
MIA,12200015,111,MIN,121
LAL,12200012,75,SAC,105
DEN,12200011,101,OKC,112
BKN,12200009,108,PHI,127
MIL,12200003,102,MEM,107
TOR,1522200071,80,MIL,69
NOP,1522200073,107,OKC,71
PHI,1522200065,104,CHI,119
BOS,1522200066,95,BKN,102
LAC,1522200069,83,MIA,86
CLE,1522200061,94,ATL,90
DEN,1522200055,71,PHI,97
PHX,1522200057,69,SAC,82
NOP,1522200060,94,LAL,102
TOR,1522200059,88,MIA,78
GSW,1522200056,82,OKC,90
MIN,1522200052,83,BKN,102
BOS,1522200047,108,MEM,91
MIL,1522200039,87,MIN,75
LAC,1522200045,75,DEN,80
OKC,1522200043,86,SAC,80
PHI,1522200044,75,MIA,71
TOR,1522200032,83,CHI,93
LAC,1522200038,72,LAL,83
GSW,1522200035,92,BOS,103
MIA,1522200034,88,ATL,95
MIA,1522200034,88,ATL,0
BKN,1522200033,84,MEM,120
ATL,1522200026,73,NOP,101
BOS,1522200028,111,MIL,109
NYK,1522200020,101,CHI,69
CLE,1522200022,76,DEN,84
BKN,1522200019,91,PHI,84
MEM,1522200024,70,MIN,63
MIA,1522200012,88,BOS,78
MEM,1522200016,76,LAC,94
PHI,1522200010,77,TOR,97
LAL,1522200009,84,PHX,104
MIL,1522200006,94,BKN,90
NYK,1522200007,101,GSW,88
MIN,1522200008,85,DEN,77
MIN,1522200008,85,DEN,1
PHI,1622200005,80,OKC,79
OKC,1622200003,87,MEM,71
MIA,1322200005,94,GSW,70
PHI,1622200001,99,MEM,103
LAL,1322200006,75,SAC,87
SAC,1322200003,81,MIA,64
GSW,1322200004,77,LAL,100
GSW,1322200002,68,SAC,86
MIA,1322200001,66,LAL,100
BOS,42100406,90,GSW,103
GSW,42100405,104,BOS,94
BOS,42100404,97,GSW,107
BOS,42100403,116,GSW,100
GSW,42100402,107,BOS,88
GSW,42100401,108,BOS,120
MIA,42100307,96,BOS,100
BOS,42100306,103,MIA,111
MIA,42100305,80,BOS,93
BOS,42100304,102,MIA,82
BOS,42100303,103,MIA,109
MIA,42100302,102,BOS,127
MIA,42100301,118,BOS,107
BOS,42100217,109,MIL,81
GSW,42100236,110,MEM,96
MIL,42100216,95,BOS,108
PHI,42100206,90,MIA,99
BOS,42100215,107,MIL,110
MEM,42100235,134,GSW,95
MIA,42100205,120,PHI,85
MIL,42100214,108,BOS,116
GSW,42100234,101,MEM,98
PHI,42100204,116,MIA,108
GSW,42100233,142,MEM,112
MIL,42100213,103,BOS,101
PHI,42100203,99,MIA,79
MIA,42100202,119,PHI,103
BOS,42100212,109,MIL,86
MEM,42100232,106,GSW,101
MIA,42100201,106,PHI,92
BOS,42100211,89,MIL,101
MEM,42100231,116,GSW,117
MIN,42100156,106,MEM,114
TOR,42100136,97,PHI,132
NOP,42100146,109,PHX,115
MIL,42100125,116,CHI,100
GSW,42100165,102,DEN,98
MIA,42100105,97,ATL,94
MEM,42100155,111,MIN,109
PHX,42100145,112,NOP,97
BKN,42100114,112,BOS,116
PHI,42100135,88,TOR,103
DEN,42100164,126,GSW,121
CHI,42100124,95,MIL,119
NOP,42100144,118,PHX,103
ATL,42100104,86,MIA,110
BKN,42100113,103,BOS,109
MIN,42100154,119,MEM,118
TOR,42100134,110,PHI,102
ATL,42100103,111,MIA,110
CHI,42100123,81,MIL,111
NOP,42100143,111,PHX,114
MIN,42100153,95,MEM,104
DEN,42100163,113,GSW,118
MIL,42100122,110,CHI,114
BOS,42100112,114,BKN,107
TOR,42100133,101,PHI,104
MEM,42100152,124,MIN,96
MIA,42100102,115,ATL,105
PHX,42100142,114,NOP,125
PHI,42100132,112,TOR,97
GSW,42100162,126,DEN,106
MIA,42100101,115,ATL,91
BOS,42100111,115,BKN,114
PHX,42100141,110,NOP,99
MIL,42100121,93,CHI,86
PHI,42100131,131,TOR,111
GSW,42100161,123,DEN,107
MEM,42100151,117,MIN,130
LAC,52100211,101,NOP,105
CLE,52100201,101,ATL,107
MIN,52100121,109,LAC,104
BKN,52100101,115,CLE,108
NOP,22101225,107,GSW,128
LAC,22101222,138,OKC,88
CLE,22101218,133,MIL,115
MEM,22101223,110,BOS,139
DEN,22101220,141,LAL,146
NYK,22101226,105,TOR,94
MIN,22101224,120,CHI,124
PHX,22101229,109,SAC,116
MEM,22101213,141,NOP,114
LAC,22101212,117,SAC,98
LAL,22101211,120,OKC,101
MIA,22101207,113,ATL,109
BKN,22101205,118,CLE,107
MIL,22101198,127,BOS,121
TOR,22101197,119,PHI,114
GSW,22101202,128,LAL,112
DEN,22101201,122,MEM,109
NYK,22101191,98,BKN,110
CHI,22101193,94,BOS,117
LAC,22101195,113,PHX,109
SAC,22101188,109,NOP,123
CHI,22101183,106,MIL,127
TOR,22101182,118,ATL,108
PHX,22101189,121,LAL,110
TOR,22101172,109,MIA,114
SAC,22101176,90,GSW,109
OKC,22101174,117,PHX,96
LAC,22101177,119,NOP,100
LAL,22101168,118,DEN,129
CLE,22101170,108,PHI,112
CHI,22101164,109,MIA,127
NYK,22101162,101,CLE,119
ATL,22101163,122,BKN,115
LAL,22101160,111,NOP,114
MEM,22101155,122,PHX,114
DEN,22101159,130,MIN,136
MIL,22101156,119,LAC,153
ATL,22100452,131,CLE,107
BKN,22101148,119,MIL,120
CHI,22101149,135,LAC,130
BOS,22101139,98,MIA,106
TOR,22101141,125,MIN,102
GSW,22101145,103,PHX,107
OKC,22101143,118,ATL,136
PHI,22101131,116,MIL,118
MEM,22101129,123,GSW,95
TOR,22101127,115,BOS,112
MIA,22101125,123,SAC,100
NYK,22101126,109,CHI,104
BOS,22101116,134,MIN,112
NOP,22101119,116,LAL,108
PHX,22101118,114,PHI,104
MIA,22101111,95,BKN,110
CLE,22101110,94,CHI,98
MEM,22101112,127,MIL,102
DEN,22101113,113,OKC,107
ATL,22101102,121,GSW,110
LAC,22101106,97,PHI,122
MIA,22101103,103,NYK,111
NOP,22101098,126,CHI,109
TOR,22101095,117,CLE,104
DEN,22101099,130,PHX,140
LAL,22101093,121,PHI,126
MIN,22101090,116,PHX,125
MEM,22101089,132,BKN,120
MIA,22101088,104,GSW,118
MIL,22101082,126,CHI,98
DEN,22101083,127,LAC,115
NYK,22101081,111,ATL,117
OKC,22101078,123,BOS,132
CHI,22101076,113,TOR,99
PHI,22101074,113,MIA,106
CLE,22101072,120,LAL,131
SAC,22101066,124,PHX,127
ATL,22101064,112,NOP,117
DEN,22101068,104,BOS,124
PHI,22101069,88,TOR,93
MIN,22101058,138,MIL,119
CLE,22101049,119,DEN,116
PHX,22101056,129,CHI,102
SAC,22101057,97,BOS,126
TOR,22101051,123,LAL,128
ATL,22101047,120,MEM,105
MIA,22101052,120,OKC,108
LAC,22101044,100,TOR,103
GSW,22101042,88,BOS,110
CLE,22101034,114,PHI,118
MIN,22101039,124,LAL,104
SAC,22101043,126,MIL,135
NOP,22101032,115,PHX,131
LAL,22101028,103,TOR,114
SAC,22101026,112,CHI,103
CLE,22101020,120,LAC,111
PHI,22101022,110,DEN,114
PHX,22101019,140,LAL,111
BKN,22101012,110,NYK,107
OKC,22101018,118,MEM,125
DEN,22101009,115,TOR,127
MIA,22101005,104,MIN,113
GSW,22101008,122,MIL,109
CHI,22101006,101,CLE,91
PHX,22101003,112,TOR,117
MIA,22100998,117,CLE,105
ATL,22100996,112,LAC,106
MEM,22101000,118,NYK,114
DEN,22100994,102,GSW,113
PHI,22100993,100,BKN,129
SAC,22100991,100,DEN,106
MIN,22100986,132,OKC,102
MIL,22100984,124,ATL,115
MIA,22100983,90,PHX,111
MEM,22100978,132,NOP,111
GSW,22100980,112,LAC,97
OKC,22100979,115,MIL,142
DEN,22100528,131,GSW,124
SAC,22100974,115,NYK,131
PHI,22100969,121,CHI,106
DEN,22100967,138,NOP,130
BOS,22100960,126,BKN,120
MIL,22100961,132,PHX,122
CLE,22100962,104,TOR,96
LAC,22100966,93,NYK,116
MIA,22100956,99,PHI,82
LAL,22100959,124,GSW,116
PHI,22100947,125,CLE,119
CHI,22100949,112,MIL,118
OKC,22100951,101,MIN,138
PHX,22100953,115,NYK,114
LAC,22100945,132,LAL,111
BKN,22100941,107,MIA,113
BOS,22100940,120,MEM,107
ATL,22100710,130,CHI,124
PHI,22100934,123,NYK,108
DEN,22100938,107,OKC,119
NOP,22100937,125,SAC,95
MIL,22100936,120,MIA,119
MIN,22100930,129,GSW,114
BOS,22100927,107,ATL,98
TOR,22100928,109,BKN,108
OKC,22100925,110,SAC,131
MIA,22100922,112,CHI,99
CLE,22100920,122,MIN,127
BKN,22100726,97,TOR,133
LAL,22100919,95,NOP,123
NYK,22100912,109,PHI,125
MIL,22100910,123,BKN,126
CHI,22100909,110,MEM,116
DEN,22100911,115,SAC,110
ATL,22100906,127,TOR,100
NYK,22100900,100,MIA,115
PHX,22100902,102,NOP,117
MIN,22100901,102,PHI,133
LAL,22100904,102,LAC,105
MIN,22100892,119,MEM,114
CHI,22100891,112,ATL,108
OKC,22100893,104,PHX,124
SAC,22100895,110,DEN,128
BKN,22100890,106,BOS,129
MIL,22100887,120,PHI,123
GSW,22100883,116,DEN,117
CHI,22100878,125,SAC,118
MIN,22100880,91,TOR,103
NYK,22100877,106,BKN,111
PHX,22100873,103,LAC,96
NOP,22100872,109,MEM,121
ATL,22100867,124,CLE,116
PHI,22100869,87,BOS,135
NYK,22100860,123,OKC,127
NOP,22100863,120,TOR,90
LAC,22100866,119,GSW,104
BKN,22100859,109,SAC,85
BOS,22100856,105,ATL,95
TOR,22100850,109,DEN,110
MIA,22100851,115,BKN,111
PHI,22100849,103,CLE,93
CHI,22100852,106,OKC,101
GSW,22100854,117,LAL,115
CHI,22100843,134,MIN,122
BOS,22100842,108,DEN,102
PHI,22100840,100,OKC,87
GSW,22100837,114,NYK,116
PHX,22100836,131,MIL,107
NOP,22100833,97,MIA,112
OKC,22100827,98,TOR,117
SAC,22100830,132,MIN,119
